Date,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of Countries
7/10/20,12501740,556965,6879465,5065310,1837207,4.46,55.03,8.1,188
7/11/20,12718142,561750,7005174,5151218,216402,4.42,55.08,8.02,188
7/12/20,12910765,565740,7116853,5228172,192623,4.38,55.12,7.95,188
7/13/20,13103070,569553,7257197,5276320,192305,4.35,55.39,7.85,188
7/14/20,13324389,575148,7399397,5349844,221319,4.32,55.53,7.77,188
7/15/20,13555611,580582,7559178,5415851,231227,4.28,55.76,7.68,188
7/16/20,13808279,586332,7711548,5510399,252671,4.25,55.85,7.6,188
7/17/20,14050533,592988,7894858,5562687,242254,4.22,56.19,7.51,188
7/18/20,14287418,598609,8045815,5642994,236885,4.19,56.31,7.44,188
7/19/20,14501583,602661,8133692,5765230,214165,4.16,56.09,7.41,188
7/2/20,10872669,518361,5753918,4600390,0,4.77,52.92,9.01,188
7/20/20,14708250,606829,8292688,5808733,3835581,4.13,56.38,7.32,188
7/21/20,14941878,612998,8467335,5861545,233738,4.1,56.67,7.24,188
7/22/20,15222711,619920,8643722,5959069,280833,4.07,56.78,7.17,188
7/23/20,15505806,629817,8813886,6062103,283095,4.06,56.84,7.15,188
7/24/20,15786391,635852,9043203,6107336,280585,4.03,57.28,7.03,188
7/25/20,16042089,641398,9262520,6138171,255698,4.0,57.74,6.92,188
7/26/20,16255260,645058,9402996,6207206,213171,3.97,57.85,6.86,188
7/27/20,16481553,650233,9572619,6258701,226297,3.95,58.08,6.79,188
7/28/20,16733998,656545,9746473,6330980,252445,3.92,58.24,6.74,188
7/29/20,17023686,663118,9948163,6412405,289688,3.9,58.44,6.67,188
7/3/20,11075391,523297,5863818,4688276,0,4.72,52.94,8.92,188
7/30/20,17304066,669124,10170650,6464292,6228675,3.87,58.78,6.58,188
7/31/20,17594389,675328,10369255,6549806,290323,3.84,58.94,6.51,188
7/4/20,11269302,527661,6059651,4681990,0,4.68,53.77,8.71,188
7/5/20,11452292,531133,6178973,4742186,182990,4.64,53.95,8.6,188
7/6/20,11617941,534954,6302585,4780402,165649,4.6,54.25,8.49,188
7/7/20,11828915,540984,6447610,4840321,210974,4.57,54.51,8.39,188
7/8/20,12041312,546257,6605559,4889496,212397,4.54,54.86,8.27,188
7/9/20,12269423,551670,6740073,4977680,228111,4.5,54.93,8.18,188
8/1/20,17845046,680820,10553852,6610374,5575623,3.82,59.14,6.45,188
8/10/20,20082310,730973,12280520,7070817,2237264,3.64,61.15,5.95,188
8/11/20,20337403,737404,12585663,7014336,255094,3.63,61.88,5.86,188
